audience_freshness,poster_url,rt_audience_score,rt_freshness,rt_score,2015_inflation,adjusted,genres,genre_1,genre_2,genre_3,imdb_rating,length,rank_in_year,rating,release_date,studio,title,worldwide_gross,year
56,http://resizing.flixster.com/SnAb2Xw6Wp8we8btiHQkf8xanHc=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/91/11169150_ori.jpg,3.5,35,4.9,0.0497,1179649301.10,"Sci-Fi
Adventure
Action",Sci-Fi,Adventure,Action,6.3,154,2,PG-13,29-Jun-11,Paramount,Transformers: Dark of the Moon,1123794079.00,2011
55,http://resizing.flixster.com/Keg-ch93mJuhBIB3t7zgFAf2N_c=/180x266/dkpu1ddg7pbsk.cloudfront.net/movie/10/93/73/10937308_ori.jpg,3.5,51,5.7,0.0828,1110413235.80,"Fantasy
Family
Adventure",Fantasy,Family,Adventure,6.5,108,2,PG,5-Mar-10,Walt Disney Pictures,Alice in Wonderland,1025467110.00,2010
82,http://resizing.flixster.com/VoG3m3OewOKv5t1EQbX-kwLFuAY=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/88/11168864_ori.jpg,4,81,6.8,0.0828,588103656.97,"Family
Comedy
Animation",Family,Comedy,Animation,7.7,95,9,PG,9-Jul-10,Universal / Illumination,Despicable Me,543113985.00,2010
84,http://resizing.flixster.com/VRBPaLlcQQjBaaobjVvpTavdEso=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/36/11163674_ori.jpg,4.1,78,7.1,0.0828,1039829831.30,"Fantasy
Family
Adventure",Fantasy,Family,Adventure,7.7,146,3,PG-13,19-Nov-10,Warner Bros.,Harry Potter and the Deathly Hallows - Part 1,960283305.00,2010
91,http://resizing.flixster.com/kSxnnx5oPhqDlOnvpGUQXpVoAsA=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/66/11176619_ori.jpg,4.2,98,7.9,0.0828,535872792.75,"Family
Animation
Adventure",Family,Animation,Adventure,8.2,98,10,PG,26-Mar-10,Paramount / DreamWorks,How to Train Your Dragon,494878759.00,2010
91,http://resizing.flixster.com/THwVJ6BnMSZz1ygWPdIEok_wVhA=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/67/11166725_ori.jpg,4.2,86,8,0.0828,893915146.90,"Sci-Fi
Mystery
Action",Sci-Fi,Mystery,Action,8.8,148,4,PG-13,16-Jul-10,Warner Bros. / Legendary,Inception,825531030.00,2010
72,http://resizing.flixster.com/-39Qh0s24nsZP81IZAbL774F6HA=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/11/12/20/11122085_ori.jpg,3.7,73,6.5,0.0828,675617796.27,"Sci-Fi
Adventure
Action",Sci-Fi,Adventure,Action,7.1,124,7,PG-13,7-May-10,Paramount / Marvel,Iron Man 2,623933331.00,2010
54,http://resizing.flixster.com/uEi0yf7uXt-KtUdkF-AGY9smjp0=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/11/12/76/11127605_ori.jpg,3.5,58,5.9,0.0828,814943703.06,"Comedy
Animation
Adventure",Comedy,Animation,Adventure,6.4,93,5,PG,21-May-10,Paramount / DreamWorks,Shrek Forever After,752600867.00,2010
87,http://resizing.flixster.com/UuaLvR-fxpgmESPegJcY0F2XJ-c=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/11/15/80/11158038_ori.png,4.1,90,7.5,0.0828,640817168.50,"Family
Comedy
Animation",Family,Comedy,Animation,7.8,100,8,PG,24-Nov-10,Disney,Tangled,591794936.00,2010
60,http://resizing.flixster.com/caDfqgfBgZUEr0xairY8kwWQHGw=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/43/11174382_ori.jpg,3.6,49,5.4,0.0828,756351938.78,"Fantasy
Drama
Adventure",Fantasy,Drama,Adventure,4.9,124,6,PG-13,30-Jun-10,Summit Entertainment,The Twilight Saga: Eclipse,698491347.00,2010
