country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90500,91300,89000,78400,70900,63500,63300,65100,64400,65600,77900,83300,90400,101000,114000,117000,127000,131000,142000,146000,
Kenya,,,,,,,,,,,,4280,4440,4600,4780,4970,5150,5360,5580,5810,6010,6270,6520,6790,7040,7330,7880,8160,8440,8730,9010,9290,9560,9850,10100,10500,10800,11000,11300,11500,11700,12200,12500,13200,13700,14000,14300,14700,15100,15600,
Kuwait,,,,,,,,,,,,161000,174000,160000,136000,112000,115000,106000,116000,139000,93600,63700,46400,59800,66800,60800,65100,69600,82900,99000,50400,10100,59800,107000,114000,115000,115000,115000,118000,108000,114000,112000,101000,121000,132000,147000,151000,147000,153000,130000,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,2440,1820,1580,1470,1260,1320,1260,1110,1300,1440,1350,1200,1400,1480,1450,1490,1430,1190,1160,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1120,1120,1080,1180,1330,1430,1440,1620,1770,1640,1410,1520,1610,1740,1850,1860,1850,1800,1790,2100,
Lebanon,,,,,,,,,,,,169,169,142,178,178,178,178,177,179,178,177,160,152,155,155,153,157,157,150,143,151,167,171,185,180,190,201,193,155,167,159,191,252,234,229,200,192,166,174,
Libya,,,,,,,,,,,,138000,115000,113000,80200,78800,102000,108000,104000,110000,96600,64300,60400,58100,58800,57200,56900,55200,58700,61100,73200,81700,78000,74100,75000,76100,75700,75800,78300,69300,72800,71900,65900,77500,86300,94400,100000,97700,101000,87100,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4940,4930,4370,3860,2700,3850,4490,4060,4620,3660,3360,4260,5060,5370,5200,3920,3490,3800,3850,4210,
Luxembourg,1.72,4.9,3.87,0.172,6.45,8.51,7.74,8.34,8.43,7.31,8.26,4.73,5.59,4.04,7.14,6.11,3.96,24.3,24.2,26.1,29.4,30.3,28.7,28.4,30.9,30.7,26.1,33.7,36.6,35.1,28.8,30.5,45.6,44.2,45.3,44.6,37.4,42.5,53.1,53.4,57.3,58.2,56.1,58.1,66.7,88.3,91.9,94.6,101,106,104
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1260,1350,1540,1510,1510,1600,1570,1490,1750,1630,1540,1580,1510,1670,1600,1580,1620,1500,1620,1610,
Malaysia,,,,,,,,,,,,4770,6020,5970,5630,6670,10000,11000,15000,18800,18200,17000,19800,27100,33400,34200,40200,41100,43900,47100,48800,52800,54200,56400,58300,64600,70100,73700,74600,72800,76100,77200,80500,83900,88500,91500,90300,90100,93100,89700,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239,0.31,0.406,0.525,0.645,0.788,0.907,1.07,
